cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/20/2016,10/24/2016,"Google Consumer Surveys","B",21240,"lv",5.23722,38.54,33.87,6.37,,43.46456,39.8423,5.566245,,"","https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS",47407,74188,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/23/2016,10/26/2016,"ABC News/Washington Post","A+",1109,"lv",3.795924,48,44,4,,46.10781,42.82249,4.493397,,"","http://www.langerresearch.com/wp-content/uploads/1184a62016ElectionTrackingNo-6.pdf",47635,74553,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Florida",10/20/2016,10/24/2016,"SurveyUSA","A",1251,"lv",3.64316,48,45,2,,46.57676,44.24274,2.240537,,"","http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/10/25/florida_decides_polls_presidential_race.html#pdfs",47465,74252,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/20/2016,10/25/2016,"Pew Research Center","B+",2120,"rv",3.62327,46,40,6,,45.40978,41.05367,4.11248,,"","http://www.people-press.org/2016/10/27/as-election-nears-voters-divided-over-democracy-and-respect/",47616,74519,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/22/2016,10/25/2016,"Fox News/Anderson Robbins Research/Shaw & Company Research","A",1221,"lv",3.56126,44,41,7,,44.92009,41.24311,6.598405,,"","http://www.foxnews.com/politics/interactive/2016/10/26/fox-news-poll-october-26-2016/",47542,74365,10/26/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/23/2016,10/27/2016,"Ipsos","A-",1158,"lv",3.336728,41.7,36.4,6.3,,41.53405,36.40811,7.051316,,"","http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1",47643,74599,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"California",10/14/2016,10/23/2016,"Public Policy Institute of California","A",1024,"lv",3.038229,54,28,5,,55.62182,28.25915,3.567557,,"","http://www.ppic.org/content/pubs/survey/S_1016MBS.pdf",47545,74374,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/22/2016,10/27/2016,"IBD/TIPP","A-",973,"lv",2.908531,43.8,40.8,7.3,,45.79473,40.4887,6.237358,,"","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/",47633,74551,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/20/2016,10/24/2016,"GfK Group","B+",1212,"lv",2.906411,51,37,6,,50.24245,38.32074,5.529829,,"","http://ap-gfkpoll.com/main/wp-content/uploads/2016/10/October-2016-AP-GfK-Poll-Topline_Campaign.pdf",47538,74345,10/26/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Florida",10/21/2016,10/24/2016,"Selzer & Company","A+",805,"lv",2.87628,43,45,4,,43.06406,44.84822,3.49863,,"","http://www.bloomberg.com/politics/articles/2016-10-26/florida-poll",47469,74257,10/26/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/25/2016,10/27/2016,"The Times-Picayune/Lucid","",2627,"lv",2.790349,43,40,6,,43.14291,41.57348,5.24957,,"","https://luc.id/2016-presidential-tracker/",47642,74580,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/14/2016,10/17/2016,"Selzer & Company","A+",1000,"lv",2.767062,47,38,8,,47.30318,38.49208,6.741462,,"","http://www.bloomberg.com/politics/articles/2016-10-19/national-poll",47060,73636,10/19/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Pennsylvania",10/23/2016,10/25/2016,"Siena College","A",824,"lv",2.750411,46,39,6,,45.83918,40.53082,4.781251,,"","http://www.nytimes.com/interactive/2016/10/27/upshot/pennsylvania-poll.html",47551,74386,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/21/2016,10/27/2016,"USC Dornsife/LA Times","",3238,"lv",2.73613,44.13,45.84,,,45.16006,42.44062,,,"","http://latimes.com/politics/",47632,74549,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/22/2016,10/26/2016,"YouGov","B",1209,"lv",2.644564,46,41,4,,45.84153,40.3793,5.620253,,"","https://today.yougov.com/news/2016/10/27/yougoveconomist-poll-october-22-26-2016/",47608,74499,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Missouri",10/23/2016,10/25/2016,"Remington","",2559,"lv",2.629815,39,50,4,,38.77177,48.18706,4.828359,,"","http://themissouritimes.com/35001/greitens-trims-kosters-lead-trump-surges-missouri/",47615,74518,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/25/2016,10/26/2016,"Gravis Marketing","B-",1824,"rv",2.62327,46,45,2,,46.11921,44.20369,2.588032,,"","http://www.breitbart.com/big-government/2016/10/27/exclusive-statistical-tie-latest-breitbartgravis-poll-shows-donald-trump-closes-gap-less-two-weeks-left/",47631,74547,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Arizona",10/22/2016,10/24/2016,"Saguaro Strategies","",2385,"lv",2.570595,48,46,5,,46.07351,45.16273,4.681281,,"","https://www.scribd.com/document/329155539/Saguaro-Strategies-General-Election-Survey-October-22-24",47630,74546,10/27/16,"14:56:09 28 Oct 2016"
